"text","post_text","shared_text","time","video_id","likes","comments","shares"
"Arizona’s senators have introduced a bill that would ban uranium mining near Grand Canyon National Park. KNAU’s Ryan Heinsius has more on the latest effort to protect the area’s environment and water.","Arizona’s senators have introduced a bill that would ban uranium mining near Grand Canyon National Park. KNAU’s Ryan Heinsius has more on the latest effort to protect the area’s environment and water.","","25/02/2021 13:22",1.79987e+14,3182,52,0
"How I Built This host Guy Raz is interviewing the founders of Morning Brew ☕️.

Five years ago Alex Lieberman and Austin Rief started a business newsletter in their dorm room. Today their media company has been valued at $75M.

What should Guy ask them? Let us know in the comments and you could hear your question on air.","How I Built This host Guy Raz is interviewing the founders of Morning Brew ☕️.

Five years ago Alex Lieberman and Austin Rief started a business newsletter in their dorm room. Today their media company has been valued at $75M.

What should Guy ask them? Let us know in the comments and you could hear your question on air.","","25/02/2021 11:58",2.57599e+14,143,47,23
"Asking for a raise can be scary. For starters, there's usually no ""how to"" handout from HR. Life Kit spoke with negotiations expert Mori Taheripour and career counselor Karen Chopra to bring you 10 tips to help you ask for more money at work — from wardrobe, to making the case for a raise, to what to do if your boss says ""no."" https://n.pr/3klB1G1","Asking for a raise can be scary. For starters, there's usually no ""how to"" handout from HR. Life Kit spoke with negotiations expert Mori Taheripour and career counselor Karen Chopra to bring you 10 tips to help you ask for more money at work — from wardrobe, to making the case for a raise, to what to do if your boss says ""no."" https://n.pr/3klB1G1","","24/02/2021 18:01",4.60026e+15,160,31,0
"Capitol insurrection hearing: Two Senate committees are holding a hearing on the security failures that led to the January 6 Capitol insurrection. Watch the hearing live.","Capitol insurrection hearing: Two Senate committees are holding a hearing on the security failures that led to the January 6 Capitol insurrection. Watch the hearing live.","","23/02/2021 10:05",1.00847e+15,1485,2569,612
"Biden honors COVID victims: President Biden delivers remarks honoring the victims of the coronavirus pandemic as the U.S. hits 500,000 deaths from COVID-19. Watch his remarks live.","Biden honors COVID victims: President Biden delivers remarks honoring the victims of the coronavirus pandemic as the U.S. hits 500,000 deaths from COVID-19. Watch his remarks live.","","22/02/2021 18:01",4.21072e+14,2324,1045,693
"Garland confirmation hearing: The Senate Judiciary Committee holds a confirmation hearing for Merrick Garland, President Biden’s attorney general nominee. Watch the hearing live.","Garland confirmation hearing: The Senate Judiciary Committee holds a confirmation hearing for Merrick Garland, President Biden’s attorney general nominee. Watch the hearing live.","","22/02/2021 09:32",7.18623e+14,1922,2735,465
"NASA's latest Mars rover successfully landed on the Red Planet Thursday, beginning its search for signs of ancient microbial life. It touched down in Jezero Crater — which held a lake 3.5 billion years ago.","NASA's latest Mars rover successfully landed on the Red Planet Thursday, beginning its search for signs of ancient microbial life. It touched down in Jezero Crater — which held a lake 3.5 billion years ago.","","19/02/2021 12:28",1.57097e+15,1872,72,0
"Biden at Munich Security Conference: Watch President Biden’s virtual remarks to world leaders.","Biden at Munich Security Conference: Watch President Biden’s virtual remarks to world leaders.","","19/02/2021 11:09",4.68517e+14,1057,916,249
"A rare snowfall has dusted parts of the Middle East and portions of the Mediterranean basin.

See more photos from the region: https://www.npr.org/sections/pictureshow/2021/02/18/968661286/snow-in-the-mediterranean-this-year-yes","A rare snowfall has dusted parts of the Middle East and portions of the Mediterranean basin.

See more photos from the region: https://www.npr.org/sections/pictureshow/2021/02/18/968661286/snow-in-the-mediterranean-this-year-yes","","18/02/2021 11:16",4.2844e+14,559,69,0
"Scientists are evaluating domestic COVID-19 variants to see whether they pose a new threat, as public health experts warn the U.S. needs better surveillance to spot mutations and slow their spread.","Scientists are evaluating domestic COVID-19 variants to see whether they pose a new threat, as public health experts warn the U.S. needs better surveillance to spot mutations and slow their spread.","","16/02/2021 16:17",2.25004e+14,391,67,0
"From the moment that he came into her office, Colleen knew that Max was a man she could happily stand beside. At StoryCorps, Colleen tells their daughter, Meaghan, about the life that they built together and the obstacles that they overcame. StoryCorps","From the moment that he came into her office, Colleen knew that Max was a man she could happily stand beside. At StoryCorps, Colleen tells their daughter, Meaghan, about the life that they built together and the obstacles that they overcame. StoryCorps","","14/02/2021 11:19",2.14935e+15,504,27,0
"The U.S. Senate on Saturday acquitted former President Donald Trump on an impeachment charge of inciting an insurrection.
The acquittal comes more than a month after a mob of Trump supporters stormed the U.S. Capitol as lawmakers were counting the electoral results that certified Trump's loss. Five people died in the riot, including a police officer. Two other officers later killed themselves.
A majority of senators voted to convict Trump — 57 to 43, including seven Republicans. But two-thirds, or 67 votes, is needed to convict. It was the second time Trump was acquitted in an impeachment trial.","The U.S. Senate on Saturday acquitted former President Donald Trump on an impeachment charge of inciting an insurrection.
The acquittal comes more than a month after a mob of Trump supporters stormed the U.S. Capitol as lawmakers were counting the electoral results that certified Trump's loss. Five people died in the riot, including a police officer. Two other officers later killed themselves.
A majority of senators voted to convict Trump — 57 to 43, including seven Republicans. But two-thirds, or 67 votes, is needed to convict. It was the second time Trump was acquitted in an impeachment trial.","","13/02/2021 16:49",3.66152e+15,569,1098,0
"Impeachment trial resumes: After a surprise vote to call witnesses, the Senate has resumed proceedings in the impeachment trial of former President Trump. Watch the trial live.","Impeachment trial resumes: After a surprise vote to call witnesses, the Senate has resumed proceedings in the impeachment trial of former President Trump. Watch the trial live.","","13/02/2021 12:26",4.28247e+14,2493,11741,602
"Impeachment trial day 5: House impeachment managers have called for witnesses in the Senate impeachment trial, and are debating the motion now. Watch the proceedings live.","Impeachment trial day 5: House impeachment managers have called for witnesses in the Senate impeachment trial, and are debating the motion now. Watch the proceedings live.","","13/02/2021 09:58",2.80663e+15,2126,7533,699
"Keyboardist, composer and modern jazz giant Chick Corea died on Monday. He was a musician at the dawn of jazz fusion, playing alongside greats like Miles Davis, and leading his own band, Return to Forever.

NPR’s Anastasia Tsioulcas has more:","Keyboardist, composer and modern jazz giant Chick Corea died on Monday. He was a musician at the dawn of jazz fusion, playing alongside greats like Miles Davis, and leading his own band, Return to Forever.

NPR’s Anastasia Tsioulcas has more:","","12/02/2021 13:12",4.6271e+14,316,40,0
"Trump’s impeachment defense: The impeachment trial continues with former President Trump’s lawyers presenting their opening arguments. Watch the trial live.","Trump’s impeachment defense: The impeachment trial continues with former President Trump’s lawyers presenting their opening arguments. Watch the trial live.","","12/02/2021 11:54",4.4116e+14,1075,18130,542
"Impeachment trial continues: House managers continue their arguments for impeaching former President Trump. Watch the impeachment trial live.","Impeachment trial continues: House managers continue their arguments for impeaching former President Trump. Watch the impeachment trial live.","","11/02/2021 11:59",2.44426e+14,3349,5795,912
"NPR's Guy Raz is live — interviewing the founder of Local Civics, Beverly Leon.

Beverly's mission is to get students excited about participating in their communities. In 2020 and 2021... she's had to get creative.

Starting at 12pm ET. Share your questions for Guy and Beverly in the comments!","NPR's Guy Raz is live — interviewing the founder of Local Civics, Beverly Leon.

Beverly's mission is to get students excited about participating in their communities. In 2020 and 2021... she's had to get creative.

Starting at 12pm ET. Share your questions for Guy and Beverly in the comments!","","11/02/2021 11:59",7.32572e+14,100,41,26
"New security footage released by House impeachment managers shows U.S. Capitol Police Officer Eugene Goodman directing GOP Sen. Mitt Romney away from the mob of insurrectionists storming into the Capitol. Read more: https://trib.al/05gjQuT","New security footage released by House impeachment managers shows U.S. Capitol Police Officer Eugene Goodman directing GOP Sen. Mitt Romney away from the mob of insurrectionists storming into the Capitol. Read more: https://trib.al/05gjQuT","","10/02/2021 18:41",2.58756e+14,1096,122,0
"Impeachment opening arguments: House managers are making their case for impeaching former President Trump to the Senate. Watch the trial live.","Impeachment opening arguments: House managers are making their case for impeaching former President Trump to the Senate. Watch the trial live.","","10/02/2021 18:29",9.9342e+14,2364,2639,558
"Impeachment opening arguments: House managers are making their case for impeaching former President Trump to the Senate. Watch the trial live.","Impeachment opening arguments: House managers are making their case for impeaching former President Trump to the Senate. Watch the trial live.","","10/02/2021 11:55",7.55299e+14,3360,6312,1225
"Mary Wilson, Motown legend and founding member of The Supremes, has died at 76. She, Diana Ross and Florence Ballard were the voices behind iconic songs like “You Can’t Hurry Love” and “Where Did Our Love Go.”","Mary Wilson, Motown legend and founding member of The Supremes, has died at 76. She, Diana Ross and Florence Ballard were the voices behind iconic songs like “You Can’t Hurry Love” and “Where Did Our Love Go.”","","09/02/2021 15:04",3.77805e+15,296,48,0
"Impeachment trial: House impeachment managers and former President Trump’s lawyers debate the constitutionality of the Senate impeachment trial. Watch the proceedings live.

Warning: Videos shown during the proceedings may contain profanity and violence.","Impeachment trial: House impeachment managers and former President Trump’s lawyers debate the constitutionality of the Senate impeachment trial. Watch the proceedings live.

Warning: Videos shown during the proceedings may contain profanity and violence.","","09/02/2021 12:55",4.27748e+14,2786,11421,1515
"Join Guy Raz for a live interview the founders of Strava, as part of our Resilience series.

Strava is a fitness tracking app, but it's also a place where users come together and form their own communities.

Starting at 12pm ET. What topics should Guy cover? Let us know in the comments!","Join Guy Raz for a live interview the founders of Strava, as part of our Resilience series.

Strava is a fitness tracking app, but it's also a place where users come together and form their own communities.

Starting at 12pm ET. What topics should Guy cover? Let us know in the comments!","","04/02/2021 11:59",1.16438e+14,248,178,83
"Three women received movie directing nods Wednesday as Sarah Jessica Parker and Taraji P. Henson announced the 2021 Golden Globe nominations.

Read more here: https://www.npr.org/2021/02/03/963580003/2021-golden-globe-nominees-announced-netflix-leads-the-pack","Three women received movie directing nods Wednesday as Sarah Jessica Parker and Taraji P. Henson announced the 2021 Golden Globe nominations.

Read more here: https://www.npr.org/2021/02/03/963580003/2021-golden-globe-nominees-announced-netflix-leads-the-pack","","03/02/2021 13:02",1.64551e+14,142,15,0
"U.S. Capitol Police officer Brian Sicknick, who was fatally injured during the Capitol insurrection on Jan. 6, has been given the rare distinction of lying in honor in the Rotunda.","U.S. Capitol Police officer Brian Sicknick, who was fatally injured during the Capitol insurrection on Jan. 6, has been given the rare distinction of lying in honor in the Rotunda.","","03/02/2021 10:54",2.56221e+14,5318,639,0
"Today at 3:30 p.m. ET, we’re premiering a short documentary called “Saint Coltrane: The Church Built On ‘A Love Supreme.'""

It tells the story of Franzo and Marina King, who co-founded and nurtured a spiritual community built around John Coltrane’s “A Love Supreme.” The church has survived decades of social upheaval, waves of gentrification, the deaths of both John and Alice, and the ebb and flow of jazz’s fortunes as a genre.

You can watch on YouTube: https://trib.al/VbDYg3G","Today at 3:30 p.m. ET, we’re premiering a short documentary called “Saint Coltrane: The Church Built On ‘A Love Supreme.'""

It tells the story of Franzo and Marina King, who co-founded and nurtured a spiritual community built around John Coltrane’s “A Love Supreme.” The church has survived decades of social upheaval, waves of gentrification, the deaths of both John and Alice, and the ebb and flow of jazz’s fortunes as a genre.

You can watch on YouTube: https://trib.al/VbDYg3G","","02/02/2021 14:49",1.23836e+14,205,8,0
"It's Monday. Here are giant pandas Mei Xiang and Tian Tian enjoying the snow at the Smithsonian's National Zoo.","It's Monday. Here are giant pandas Mei Xiang and Tian Tian enjoying the snow at the Smithsonian's National Zoo.","","01/02/2021 10:25",3.61021e+15,34119,4505,0
"Emmy and Tony award-winning actress Cicely Tyson, whose groundbreaking career spanned more than 60 years, died on Thursday at the age of 96.

Read more from NPR’s Elizabeth Blair: https://www.npr.org/2021/01/28/621638033/cicely-tyson-commanding-actress-has-died-at-age-96","Emmy and Tony award-winning actress Cicely Tyson, whose groundbreaking career spanned more than 60 years, died on Thursday at the age of 96.

Read more from NPR’s Elizabeth Blair: https://www.npr.org/2021/01/28/621638033/cicely-tyson-commanding-actress-has-died-at-age-96","","29/01/2021 12:17",4.54674e+14,443,52,0
"Learning with disabilities during a pandemic: Ian, who has ADHD, autism and dysgraphia, struggled to focus and keep up with his classes. His sister, Addison, who has ADHD and a sensory-processing disorder, thrived with minimal distractions. KUT Austin","Learning with disabilities during a pandemic: Ian, who has ADHD, autism and dysgraphia, struggled to focus and keep up with his classes. His sister, Addison, who has ADHD and a sensory-processing disorder, thrived with minimal distractions. KUT Austin","","28/01/2021 20:44",8.12241e+14,1204,59,0
"OK, so here's a clip of Miley Cyrus covering Mazzy Star's ""Fade Into You"" for the Tiny Desk ✨

See you at the premiere — tomorrow at noon on YouTube: https://trib.al/GPasZ86","OK, so here's a clip of Miley Cyrus covering Mazzy Star's ""Fade Into You"" for the Tiny Desk ✨

See you at the premiere — tomorrow at noon on YouTube: https://trib.al/GPasZ86","","27/01/2021 22:05",4.30219e+14,1361,427,0
"Impeachment article transmitted: The House is formally transmitting the article of impeachment against former President Donald Trump to the Senate, setting the stage of the trial the week of Feb. 8. Watch the ceremony live.","Impeachment article transmitted: The House is formally transmitting the article of impeachment against former President Donald Trump to the Senate, setting the stage of the trial the week of Feb. 8. Watch the ceremony live.","","25/01/2021 15:50",1.1535e+15,4467,1555,707
"While national headlines have resurfaced the term boogaloo amid the rise in far-right violence, KQED Arts' latest #IfCitiesCouldDance episode shows how veteran dancers from Oakland's boogaloo dance culture have been practicing their nonviolent art tradition for 50 years.

📖 Read the full story here: https://bit.ly/ICCDxOakland
🎶 Listen to a curated funk playlist: https://bit.ly/ICCDxOAKxMusicPlaylist
🌎 Explore a map of Oakland: https://bit.ly/ICCDxOAKxStoryMap","While national headlines have resurfaced the term boogaloo amid the rise in far-right violence, KQED Arts' latest #IfCitiesCouldDance episode shows how veteran dancers from Oakland's boogaloo dance culture have been practicing their nonviolent art tradition for 50 years.

📖 Read the full story here: https://bit.ly/ICCDxOakland
🎶 Listen to a curated funk playlist: https://bit.ly/ICCDxOAKxMusicPlaylist
🌎 Explore a map of Oakland: https://bit.ly/ICCDxOAKxStoryMap","","23/01/2021 15:56",3.99191e+14,682,61,0
"When Anisa Mohanty decided to go to law school, her parents weren’t exactly approving. “There weren’t people who looked like us in the political arena,"" she said.

With Vice President Kamala Harris now in office, that reality has changed for them.

“I think the possibilities in their eyes are different now.""","When Anisa Mohanty decided to go to law school, her parents weren’t exactly approving. “There weren’t people who looked like us in the political arena,"" she said.

With Vice President Kamala Harris now in office, that reality has changed for them.

“I think the possibilities in their eyes are different now.""","","22/01/2021 21:48",7.5574e+14,1266,30,0
"As the rollout of COVID-19 vaccines unfolds in the United States, numerous questions around distribution, supply, hesitancy and efficacy persist. And the stakes have never been higher, as numbers of deaths and cases repeatedly break records. In this discussion, experts will review the COVID-19 vaccine distribution plan, address safety concerns, explore upcoming expected vaccines, and discuss implications of virus variants.","As the rollout of COVID-19 vaccines unfolds in the United States, numerous questions around distribution, supply, hesitancy and efficacy persist. And the stakes have never been higher, as numbers of deaths and cases repeatedly break records. In this discussion, experts will review the COVID-19 vaccine distribution plan, address safety concerns, explore upcoming expected vaccines, and discuss implications of virus variants.","","22/01/2021 11:55",1.01882e+15,400,214,150
"Join Guy Raz for a live How I Built Resilience interview!

Independent farmers like the owners of Stemple Creek Ranch understand that humane and sustainable practices are increasingly important to American consumers.

Lisa and Loren Poncia lost 99% of their commercial business in 2020, but pivoted to a direct-to-consumer model that has been booming ever since.

Live at 12pm ET and don't forget to leave your questions in the comments!","Join Guy Raz for a live How I Built Resilience interview!

Independent farmers like the owners of Stemple Creek Ranch understand that humane and sustainable practices are increasingly important to American consumers.

Lisa and Loren Poncia lost 99% of their commercial business in 2020, but pivoted to a direct-to-consumer model that has been booming ever since.

Live at 12pm ET and don't forget to leave your questions in the comments!","","21/01/2021 11:58",8.59521e+14,182,74,42
"Biden Pushes For Unity in Inaugural Address
President Biden said the nation must end its “uncivil war,” asking for unity during his inaugural address after he and Vice President Kamala Harris were sworn in at the Capitol.","Biden Pushes For Unity in Inaugural Address
President Biden said the nation must end its “uncivil war,” asking for unity during his inaugural address after he and Vice President Kamala Harris were sworn in at the Capitol.","","20/01/2021 21:15",4.10836e+14,3098,189,0
"White House briefing: New press secretary Jen Psaki holds the first White House briefing of the new Biden administration. Watch the briefing live.","White House briefing: New press secretary Jen Psaki holds the first White House briefing of the new Biden administration. Watch the briefing live.","","20/01/2021 18:31",1.07505e+15,5235,3291,1279
"In his first address in office, President Biden called on Americans to overcome their divisions, saying: “Without unity, there is no peace.”

Biden pledged he would be honest with the country, saying leaders have an obligation “to defend the truth and defeat the lies.”","In his first address in office, President Biden called on Americans to overcome their divisions, saying: “Without unity, there is no peace.”

Biden pledged he would be honest with the country, saying leaders have an obligation “to defend the truth and defeat the lies.”","","20/01/2021 15:44",4.22274e+14,2291,144,0
"Amanda Gorman, a 22-year-old poet from Los Angeles, is the youngest person in recent memory to deliver a poem at a presidential inauguration.

Gorman opened by acknowledging the reasons why hope can be challenging. ""Where can we find light in this never-ending shade?"" she asked.

""And yet, the dawn is ours before we knew it. Somehow we do it. Somehow we weathered and witnessed a nation that isn't broken but simply unfinished.""

""The new dawn blooms as we free it,"" she said.

""For there is always light, if only we are brave enough to see it – if only we are brave enough to be it.""

She acknowledged the power of her own presence on the stage, in ""a country and a time where a skinny black girl descended from slaves and raised by a single mother can dream of becoming president, only to find herself reciting for one.""","Amanda Gorman, a 22-year-old poet from Los Angeles, is the youngest person in recent memory to deliver a poem at a presidential inauguration.

Gorman opened by acknowledging the reasons why hope can be challenging. ""Where can we find light in this never-ending shade?"" she asked.

""And yet, the dawn is ours before we knew it. Somehow we do it. Somehow we weathered and witnessed a nation that isn't broken but simply unfinished.""

""The new dawn blooms as we free it,"" she said.

""For there is always light, if only we are brave enough to see it – if only we are brave enough to be it.""

She acknowledged the power of her own presence on the stage, in ""a country and a time where a skinny black girl descended from slaves and raised by a single mother can dream of becoming president, only to find herself reciting for one.""","","20/01/2021 13:50",7.71376e+14,16666,674,0
"President-elect Joe Biden becomes President Biden just before noon Eastern time, taking the oath of office to become the nation's 46th commander in chief.","President-elect Joe Biden becomes President Biden just before noon Eastern time, taking the oath of office to become the nation's 46th commander in chief.","","20/01/2021 13:25",3.59144e+15,5528,245,0
"Kamala Harris has been sworn in as vice president of the United States, becoming the first woman, first Black person and first Asian American to hold the office. She is also be the first graduate of a historically Black college and first member of a Black sorority to do so.","Kamala Harris has been sworn in as vice president of the United States, becoming the first woman, first Black person and first Asian American to hold the office. She is also be the first graduate of a historically Black college and first member of a Black sorority to do so.","","20/01/2021 13:10",1.17775e+15,16718,360,0
"Inauguration Day: Joe Biden and Kamala Harris take office as president and vice president of the United States. Watch the day’s events, in person and virtual, with special coverage from NPR.","Inauguration Day: Joe Biden and Kamala Harris take office as president and vice president of the United States. Watch the day’s events, in person and virtual, with special coverage from NPR.","","20/01/2021 10:59",5.20968e+14,6679,4889,2547
"President Trump has left the White House.

His departure caps a tumultuous 4 years, which ended with Trump losing his reelection bid to Joe Biden and baselessly, falsely asserting the process was fraudulent.

President-elect Biden will be sworn in as the 46th president at noon ET.","President Trump has left the White House.

His departure caps a tumultuous 4 years, which ended with Trump losing his reelection bid to Joe Biden and baselessly, falsely asserting the process was fraudulent.

President-elect Biden will be sworn in as the 46th president at noon ET.","","20/01/2021 09:04",2.47206e+14,16150,5779,0
"We asked D.C. residents to tell us what's on their mind ahead of Inauguration Day.

""The events, of the last couple of weeks, especially, have just made me realize that democracy — as powerful and beautiful as it can be — is fragile,"" said Emma Bradley, a Georgetown student. “We have to do better.""","We asked D.C. residents to tell us what's on their mind ahead of Inauguration Day.

""The events, of the last couple of weeks, especially, have just made me realize that democracy — as powerful and beautiful as it can be — is fragile,"" said Emma Bradley, a Georgetown student. “We have to do better.""","","19/01/2021 23:00",8.55386e+14,492,30,0
"We asked D.C. residents to tell us what's on their minds ahead of Inauguration Day.

“For me, to call America a democracy is to hide from the many violent sins that have been committed to keep democracy from flourishing,” said Rev. William H. Lamar IV, whose place of worship, Metropolitan AME Church, was vandalized by white supremacists last month.","We asked D.C. residents to tell us what's on their minds ahead of Inauguration Day.

“For me, to call America a democracy is to hide from the many violent sins that have been committed to keep democracy from flourishing,” said Rev. William H. Lamar IV, whose place of worship, Metropolitan AME Church, was vandalized by white supremacists last month.","","19/01/2021 19:49",1.25741e+15,290,28,0
"Nearly 200,000 US flags were planted on the National Mall ahead of President-elect Biden's inauguration on Wednesday.

The inaugural committee says the ""field of flags"" represents Americans who can't attend the event in person this year. The display was accompanied by 56 pillars of light, representing all 50 states and 6 territories.","Nearly 200,000 US flags were planted on the National Mall ahead of President-elect Biden's inauguration on Wednesday.

The inaugural committee says the ""field of flags"" represents Americans who can't attend the event in person this year. The display was accompanied by 56 pillars of light, representing all 50 states and 6 territories.","","19/01/2021 18:54",2.90509e+15,12069,508,0
"Four major issues — the pandemic, the economy, racial justice and climate change — are expected to dominate President-elect Biden’s agenda in his first 100 days in office.

Watch as NPR’s Scott Detrow and Ayesha Rascoe take a look at one of those issues, climate change. Full video here: https://youtu.be/J85kgJs5hCo","Four major issues — the pandemic, the economy, racial justice and climate change — are expected to dominate President-elect Biden’s agenda in his first 100 days in office.

Watch as NPR’s Scott Detrow and Ayesha Rascoe take a look at one of those issues, climate change. Full video here: https://youtu.be/J85kgJs5hCo","","19/01/2021 15:16",1.11413e+15,1411,392,0
"Biden defense nominee: Retired Gen. Lloyd Austin is testifying before the Senate Armed Services Committee on his nomination to be President-elect Joe Biden’s Secretary of Defense. Watch the hearing live.","Biden defense nominee: Retired Gen. Lloyd Austin is testifying before the Senate Armed Services Committee on his nomination to be President-elect Joe Biden’s Secretary of Defense. Watch the hearing live.","","19/01/2021 14:58",8.93556e+14,979,497,212
"President-elect Joe Biden speaks in Delaware, days before Christmas. Biden received the COVID-19 vaccine on Monday, as cases soar in the U.S., and Congress agreed on a massive relief package.","President-elect Joe Biden speaks in Delaware, days before Christmas. Biden received the COVID-19 vaccine on Monday, as cases soar in the U.S., and Congress agreed on a massive relief package.","","22/12/2020 14:19",4.58523e+14,1252,1695,202
"U.S. Attorney General William Barr is set to give an update on the investigation into the 1988 bombing of a passenger plane over Lockerbie, Scotland. Watch live here.","U.S. Attorney General William Barr is set to give an update on the investigation into the 1988 bombing of a passenger plane over Lockerbie, Scotland. Watch live here.","","21/12/2020 10:33",7.2391e+14,401,2200,208
"President-elect Joe Biden is introducing key members of his incoming climate team. The nominees and appointees include Rep. Deb Haaland for interior secretary, former Michigan Gov. Jennifer Granholm as energy secretary and Gina McCarthy as national climate adviser.","President-elect Joe Biden is introducing key members of his incoming climate team. The nominees and appointees include Rep. Deb Haaland for interior secretary, former Michigan Gov. Jennifer Granholm as energy secretary and Gina McCarthy as national climate adviser.","","19/12/2020 10:42",4.00571e+14,1748,1763,365
"Panel of experts evaluates Moderna’s COVID-19 vaccine: Watch their deliberations and recommendations to FDA live.","Panel of experts evaluates Moderna’s COVID-19 vaccine: Watch their deliberations and recommendations to FDA live.","","17/12/2020 15:57",1.36714e+15,659,376,277
